Code, Name, Standard Deviation, Average, HedgeType, Skewness, latestValue, BuySuggestion
sz159902_us_chad,us_chad_中 小 板,9.02,-15.69,1,-0.120,-24.85,1
sz160311_us_chad,us_chad_华夏蓝筹,9.04,-6.66,1,-0.112,-13.31,0
sz160215_us_chad,us_chad_国泰价值,9.05,-15.66,1,-0.079,-25.41,1
sz161706_us_chad,us_chad_招商成长,9.07,-19.13,1,-0.117,-27.12,1
sz165509_us_chad,us_chad_信诚增强,9.09,11.73,1,-0.032,10.38,0
sz164808_us_chad,us_chad_工银四季,9.10,13.97,1,-0.040,11.28,0
sz510090_us_chad,us_chad_5:null},9.10,-9.92,1,-0.097,-17.44,0
sz164902_us_chad,us_chad_交银添利,9.10,18.67,1,-0.011,19.29,0
sz161226_us_chad,us_chad_白银基金,9.11,-5.61,2,0.052,-0.09,0
sz512070_us_chad,us_chad_5:null},9.11,-17.39,1,-0.119,-24.88,0
sz165705_us_chad,us_chad_诺德双翼,9.12,6.46,1,-0.014,7.85,0
sz166401_us_chad,us_chad_浦银增利,9.13,13.09,1,-0.019,14.02,0
sz159928_us_chad,us_chad_消费ETF,9.13,-10.58,1,-0.105,-12.93,0
sz159912_us_chad,us_chad_深300ETF,9.15,-16.76,1,-0.107,-22.89,0
sz161716_us_chad,us_chad_招商双债,9.15,16.78,1,-0.014,20.67,0
sz161505_us_chad,us_chad_银河通利,9.15,14.06,1,-0.033,14.09,0
sz512210_us_chad,us_chad_5:null},9.15,-9.49,1,-0.101,-11.95,0
sz512600_us_chad,us_chad_5:null},9.17,-11.96,1,-0.106,-14.56,0
sz163819_us_chad,us_chad_中银信用,9.17,22.12,1,-0.007,24.43,0
sz159906_us_chad,us_chad_深成长,9.17,-14.02,1,-0.102,-21.46,0
sz162712_us_chad,us_chad_广发聚利,9.17,7.91,1,-0.050,4.63,0
sz162308_us_chad,us_chad_海富增利,9.18,2.10,1,-0.081,-2.97,0
sz161115_us_chad,us_chad_易基岁丰,9.21,19.14,1,-0.010,20.16,0
sz160618_us_chad,us_chad_鹏华丰泽,9.21,17.14,1,-0.010,18.68,0
sz165311_us_chad,us_chad_建信信用,9.22,18.53,1,-0.003,19.28,0
sz161908_us_chad,us_chad_万家添利,9.23,20.30,1,-0.012,21.76,0
sz159920_us_chad,us_chad_恒生ETF,9.27,4.83,1,-0.104,0.16,0
sz510330_us_chad,us_chad_5:null},9.27,-12.81,1,-0.122,-20.58,0
sz165517_us_chad,us_chad_信诚双盈,9.27,9.66,1,-0.021,9.36,0
sz162105_us_chad,us_chad_持久增利,9.28,19.33,1,-0.023,19.68,0
sz161017_us_chad,us_chad_富国500,9.29,-18.28,1,-0.115,-25.28,0
sz510110_us_chad,us_chad_5:null},9.31,-10.37,1,-0.098,-16.43,0
sz513660_us_chad,us_chad_5:null},9.32,3.11,1,-0.104,-2.43,0
sz161216_us_chad,us_chad_双债A,9.32,20.69,1,-0.038,19.74,0
sz159908_us_chad,us_chad_深F200,9.33,-9.53,1,-0.083,-14.97,0
sz161610_us_chad,us_chad_融通领先,9.34,-26.69,1,-0.125,-34.72,1
sz513600_us_chad,us_chad_5:null},9.38,4.13,1,-0.105,-1.02,0
jj502001_us_chad,us_chad_500等权A,9.38,20.73,1,-0.018,22.61,0
sz510630_us_chad,us_chad_5:null},9.38,-10.20,1,-0.119,-15.57,0
sz159911_us_chad,us_chad_民营ETF,9.40,-17.90,1,-0.123,-23.74,0
sz162715_us_chad,us_chad_广发聚源,9.40,21.72,1,-0.021,22.52,0
jj502053_us_chad,us_chad_券商分级,9.40,9.77,1,-0.108,-1.19,1
sz160123_us_chad,us_chad_南方50债,9.41,21.09,1,-0.020,21.27,0
sz161813_us_chad,us_chad_银华信用,9.41,20.29,1,-0.014,21.89,0
sz163407_us_chad,us_chad_兴全300,9.47,-8.65,1,-0.116,-15.39,0
sz159919_us_chad,us_chad_300ETF,9.48,-13.46,1,-0.125,-21.64,0
sz160810_us_chad,us_chad_长盛同丰,9.49,21.77,1,-0.012,23.17,0
sz161015_us_chad,us_chad_富国天盈,9.49,18.08,1,-0.021,18.90,0
sz163824_us_chad,us_chad_中银盛利,9.50,22.18,1,-0.012,24.56,0
sz510500_us_chad,us_chad_5:null},9.52,-19.36,1,-0.127,-29.08,1
sz160720_us_chad,us_chad_中期企债,9.53,19.96,1,-0.007,21.30,0
sz164208_us_chad,us_chad_天弘丰利,9.53,22.24,1,-0.011,23.53,0
sz510030_us_chad,us_chad_5:null},9.54,-6.43,1,-0.119,-13.69,0
sz162108_us_chad,us_chad_元盛债券,9.55,22.95,1,-0.004,24.69,0
sz159913_us_chad,us_chad_深价值,9.56,-13.16,1,-0.101,-18.34,0
sz164606_us_chad,us_chad_信用增利,9.59,20.85,1,-0.010,22.26,0
sz510310_us_chad,us_chad_5:null},9.59,-13.54,1,-0.127,-21.66,0
jj502010_us_chad,us_chad_证券分级,9.60,-44.58,1,-0.135,-55.92,1
sz511210_us_chad,us_chad_5:null},9.61,21.73,1,-0.028,23.32,0
sz511010_us_chad,us_chad_5:null},9.62,21.09,1,-0.023,22.26,0
sz160716_us_chad,us_chad_嘉实50,9.62,-2.87,1,-0.110,-7.95,0
sz164705_us_chad,us_chad_添富恒生,9.64,4.21,1,-0.113,-2.61,0
sz159943_us_chad,us_chad_深证ETF,9.64,-11.96,1,-0.113,-21.14,1
sz161820_us_chad,us_chad_银华纯债,9.65,25.15,1,-0.010,27.11,0
sz510710_us_chad,us_chad_5:null},9.66,-8.73,1,-0.125,-16.65,0
sz160131_us_chad,us_chad_南方聚利,9.66,12.71,1,-0.061,7.85,0
sz160919_us_chad,us_chad_大成产业,9.66,-18.58,1,-0.127,-30.75,1
sz161010_us_chad,us_chad_富国天丰,9.67,20.12,1,-0.020,20.56,0
sz159003_us_chad,us_chad_招商快线,9.67,-18.12,2,0.040,-17.68,0
sz161614_us_chad,us_chad_融通添利,9.68,19.70,1,-0.026,18.69,0
sz511860_us_chad,us_chad_5:null},9.68,18.23,1,-0.040,17.79,0
sz160621_us_chad,us_chad_鹏华丰和,9.68,24.37,1,-0.007,26.25,0
