Code, Name, Standard Deviation, Average, HedgeType, Skewness, latestValue, BuySuggestion
sz300301_us_chad,长方集团_us_chad,7.51,-22.88,1,-0.053,-30.98,1
sz002313_us_chad,日海通讯_us_chad,7.51,-30.10,1,-0.133,-37.74,1
us_chad_sz002589,us_chad_瑞康医药,7.51,-39.76,1,-0.136,-38.90,0
us_chad_sh603009,us_chad_北特科技,7.52,-15.36,1,-0.015,-15.93,0
us_chad_sh600138,us_chad_中青旅,7.52,-9.57,1,-0.054,-17.41,1
us_chad_sh600071,us_chad_凤凰光学,7.52,-19.10,1,0.025,-13.13,0
us_chad_sh600386,us_chad_北巴传媒,7.54,-14.61,1,-0.003,6.07,2
us_chad_sz000697,us_chad_炼石有色,7.54,-38.51,1,0.007,-38.89,0
us_chad_sh600731,us_chad_湖南海利,7.56,-29.80,1,-0.057,-33.38,0
sh600385_us_chad,山东金泰_us_chad,7.56,-23.81,1,-0.001,-19.04,0
sz300267_us_chad,尔康制药_us_chad,7.56,-11.32,1,-0.066,-18.82,1
sh600768_us_chad,宁波富邦_us_chad,7.56,-25.68,1,-0.014,-20.77,0
us_chad_sz000585,us_chad_东北电气,7.57,-5.78,1,0.013,-2.83,0
us_chad_sh600605,us_chad_汇通能源,7.57,-15.47,1,0.044,-11.06,0
us_chad_sz300206,us_chad_理邦仪器,7.57,-29.21,1,-0.068,-26.38,0
sh600516_us_chad,方大炭素_us_chad,7.57,-18.21,1,-0.075,-33.88,1
us_chad_sh600638,us_chad_新黄浦,7.57,-21.89,1,-0.073,-23.87,0
us_chad_sz000988,us_chad_华工科技,7.58,-14.75,1,0.022,-15.28,0
sz900946_us_chad,5:null};_us_chad,7.58,-16.47,1,-0.077,-24.72,1
us_chad_sh600279,us_chad_重庆港九,7.58,-21.19,1,-0.038,-29.36,1
us_chad_sz000836,us_chad_鑫茂科技,7.59,-4.28,1,0.054,6.50,2
us_chad_sz900955,us_chad_5:null};,7.59,-16.24,1,-0.140,-22.91,1
us_chad_sz000912,us_chad_泸天化,7.59,-22.46,1,-0.048,-19.21,0
us_chad_sh600211,us_chad_西藏药业,7.60,-21.50,1,0.012,-18.70,0
us_chad_sh600779,us_chad_水井坊,7.60,-14.66,1,0.004,2.33,2
us_chad_sh600131,us_chad_岷江水电,7.60,-26.45,1,-0.072,-26.92,0
us_chad_sz300040,us_chad_九洲电气,7.61,-20.38,1,-0.061,-15.16,0
