Code, Name, Standard Deviation, Average, HedgeType, Skewness, latestValue, BuySuggestion
sz002700,新疆浩源_us_chad,6.32,-17.12,1,-0.007,-25.24,1
sz002518,科士达_us_chad,6.34,-12.79,1,0.051,-11.88,0
sh600883,博闻科技_us_chad,6.34,-21.85,1,-0.010,-20.52,0
sz002357,富临运业_us_chad,6.34,-16.35,1,-0.044,-26.80,1
sh601012,隆基股份_us_chad,6.36,-14.12,1,-0.063,-19.14,0
sz300015,爱尔眼科_us_chad,6.37,-2.25,1,-0.060,-4.71,0
sz002207,准油股份_us_chad,6.37,-2.59,1,-0.185,-18.83,1
sh601601,中国太保_us_chad,6.37,-1.92,1,-0.050,-4.65,2
sh600965,福成股份_us_chad,6.40,-15.89,1,-0.011,-23.98,1
sh600377,宁沪高速_us_chad,6.40,-3.28,1,-0.049,-6.44,0
sh600168,武汉控股_us_chad,6.44,-12.41,1,-0.015,-16.61,0
sz002121,科陆电子_us_chad,6.45,-10.78,1,-0.090,-20.85,1
sz300342,天银机电_us_chad,6.45,-4.29,1,0.028,0.52,0
sz002321,华英农业_us_chad,6.45,-14.52,1,-0.029,-26.82,1
sz300207,欣旺达_us_chad,6.46,13.40,1,-0.014,8.30,0
sh600891,秋林集团_us_chad,6.46,-22.38,1,-0.066,-18.92,0
sz002528,英飞拓_us_chad,6.47,-17.80,1,-0.033,-32.71,1
sz002389,南洋科技_us_chad,6.47,-22.11,1,-0.014,-25.05,0
sz002636,金安国纪_us_chad,6.48,-4.96,1,-3.287,-8.89,0
sz300021,大禹节水_us_chad,6.48,-20.67,1,-0.030,-15.81,0
sz300122,智飞生物_us_chad,6.50,-13.29,1,-0.004,-21.78,1
us_chad,us_chad_上海机场,6.50,0.94,1,-0.052,-4.96,0
sz002594,比亚迪_us_chad,6.50,-0.29,1,-0.030,-2.28,0
sz300326,凯利泰_us_chad,6.52,-13.87,1,-0.050,-21.74,1
sz000895,双汇发展_us_chad,6.54,-4.75,1,-0.038,0.11,0
sz002044,美年健康_us_chad,6.54,-9.43,1,0.183,-8.42,0
sz000070,特发信息_us_chad,6.54,-1.55,1,-0.019,-6.53,0
sh601177,杭齿前进_us_chad,6.54,-23.55,1,-0.027,-30.30,1
sz000593,大通燃气_us_chad,6.56,-21.13,1,-0.033,-19.75,0
sh600668,尖峰集团_us_chad,6.56,-18.79,1,-0.034,-19.63,0
sz000955,欣龙控股_us_chad,6.56,-21.23,1,-0.010,-27.30,1
sz000806,银河生物_us_chad,6.56,6.58,1,2.937,16.04,2
sz300043,互动娱乐_us_chad,6.56,-13.93,1,-0.065,-24.88,1
sh600615,丰华股份_us_chad,6.57,-23.78,1,-0.012,-30.09,1
sz002365,永安药业_us_chad,6.57,-23.78,1,-0.054,-33.19,1
sz300239,东宝生物_us_chad,6.57,-25.10,1,-0.046,-26.93,0
sh600851,海欣股份_us_chad,6.59,-16.80,1,0.034,-8.77,2
sz000153,丰原药业_us_chad,6.59,-10.70,1,-0.095,-18.35,1
sz300367,东方网力_us_chad,6.59,-4.78,1,0.068,-11.62,1
sz002548,金新农_us_chad,6.61,-14.12,1,-0.037,-4.14,2
sz002420,毅昌股份_us_chad,6.62,-25.04,1,-0.044,-31.88,1
sz300116,坚瑞消防_us_chad,6.63,-7.50,1,0.156,-1.52,0
sh600647,同达创业_us_chad,6.64,-30.90,1,-0.031,-37.56,1
sh603566,普莱柯_us_chad,6.65,-7.19,1,-0.021,-12.47,0
sh601677,明泰铝业_us_chad,6.65,-16.53,1,-0.049,-23.00,1
sz002675,东诚药业_us_chad,6.66,-7.43,1,-0.057,-4.77,0
us_chad,us_chad_烽火通信,6.66,-10.70,1,-0.048,-16.28,0
sz000963,华东医药_us_chad,6.66,11.50,1,-0.067,3.93,1
sh600727,鲁北化工_us_chad,6.67,-26.90,1,-0.049,-33.92,1
sz002158,汉钟精机_us_chad,6.67,-19.32,1,-0.065,-27.26,1
sh603009,北特科技_us_chad,6.67,-14.16,1,-0.029,-19.50,0
sz002399,海普瑞_us_chad,6.67,-9.61,1,-0.104,-22.58,1
sz000987,广州友谊_us_chad,6.67,-24.38,1,-0.056,-39.01,1
sz002231,奥维通信_us_chad,6.69,-19.23,1,-0.147,-32.68,1
sz002286,保龄宝_us_chad,6.69,-4.85,1,-0.136,4.39,2
sh600728,佳都科技_us_chad,6.69,-22.99,1,-0.053,-42.35,1
sh600114,东睦股份_us_chad,6.70,-17.11,1,-0.058,-22.75,1
sh600605,汇通能源_us_chad,6.71,-13.07,1,0.033,-18.50,0
sz002554,惠博普_us_chad,6.73,-18.38,1,-0.003,-12.98,0
sz002386,天原集团_us_chad,6.73,-23.69,1,-0.052,-27.41,0
sz300256,星星科技_us_chad,6.74,-14.46,1,0.028,-20.31,1
sh600299,安迪苏_us_chad,6.74,-25.91,1,-0.086,-41.36,1
sz002563,森马服饰_us_chad,6.74,-0.40,1,-0.081,-3.57,0
sz300150,世纪瑞尔_us_chad,6.75,-3.13,1,-0.149,-23.20,1
sh601166,兴业银行_us_chad,6.75,0.23,1,-0.055,-1.85,0
sz300433,蓝思科技_us_chad,6.75,-12.32,1,-0.094,-16.13,0
sz002088,鲁阳节能_us_chad,6.76,-15.78,1,-0.040,-24.32,1
sz002300,太阳电缆_us_chad,6.76,-14.44,1,-0.072,-22.83,1
sh600742,一汽富维_us_chad,6.77,-15.66,1,-0.058,-18.57,0
sz000635,&#x82f1 ;&#x529b ;特_us_chad,6.78,-20.23,1,-0.060,-27.24,1
sh600729,重庆百货_us_chad,6.79,-10.85,1,-0.514,-11.59,0
sz000530,大冷股份_us_chad,6.79,-8.74,1,-0.049,-15.38,1
sz300209,天泽信息_us_chad,6.79,-13.30,1,0.036,-8.14,0
sz300300,汉鼎股份_us_chad,6.80,-13.31,1,-0.056,-7.90,0
sz002652,扬子新材_us_chad,6.80,-12.29,1,-0.259,-9.91,0
sz300430,诚益通_us_chad,6.80,-8.60,1,-0.011,-14.54,0
sz002120,新海股份_us_chad,6.81,-20.32,1,0.006,-24.34,0
