Code, Name, Standard Deviation, Average, HedgeType, Skewness, latestValue, BuySuggestion
sz002431,棕榈股份_us_chad,7.41,-9.65,1,-0.015,-13.80,0
sh600279,重庆港九_us_chad,7.41,-20.63,1,-0.042,-32.37,1
sz000036,华联控股_us_chad,7.42,-12.99,1,0.025,-9.26,0
sz300206,理邦仪器_us_chad,7.42,-28.25,1,-0.074,-31.48,0
sz300408,三环集团_us_chad,7.43,-8.13,1,-0.088,-17.85,1
sz000985,大庆华科_us_chad,7.43,-11.55,1,-0.002,-18.81,1
sz000560,昆百大Ａ_us_chad,7.44,-19.40,1,-0.053,-26.40,1
us_chad,us_chad_上汽集团,7.44,0.94,1,-0.039,-1.11,0
sz002105,信隆实业_us_chad,7.45,-22.66,1,-0.034,-27.96,0
sz002638,勤上光电_us_chad,7.45,-3.52,1,-0.079,-1.69,0
sz000028,国药一致_us_chad,7.45,1.19,1,-0.037,-8.41,1
sh603020,爱普股份_us_chad,7.46,-13.00,1,-0.064,-17.52,0
sz000010,美丽生态_us_chad,7.46,-26.54,1,-0.048,-29.17,0
sz002034,&#x7f8e ;&#x6b23 ;达_us_chad,7.46,-18.30,1,0.005,-19.47,0
sh600980,北矿磁材_us_chad,7.46,-15.79,1,-0.062,-22.30,1
sh601689,拓普集团_us_chad,7.46,-15.62,1,-0.022,-9.34,0
us_chad,us_chad_济川药业,7.46,-0.31,1,-0.058,0.23,0
sz300107,建新股份_us_chad,7.47,-25.22,1,-0.089,-35.33,1
sz000911,南宁糖业_us_chad,7.47,-6.59,1,-0.028,-2.47,0
sz002381,双箭股份_us_chad,7.47,-12.74,1,-0.020,-24.66,1
sz000760,斯太尔_us_chad,7.48,-6.75,1,0.012,-7.68,0
sh600731,湖南海利_us_chad,7.48,-25.42,1,-0.047,-38.25,1
sh600215,长春经开_us_chad,7.49,-22.94,1,-0.080,-40.53,1
sh600638,新黄浦_us_chad,7.50,-21.36,1,-0.074,-23.69,0
